dataset,cow_id,view,has_rgb_png,has_depth_png,has_view_ply,has_top_level_ply,has_aligned_ply
CowDB,55,left,True,True,False,True,False
CowDB,55,right,True,True,False,True,False
CowDB,55,top,True,True,False,True,False
CowDB,56,left,True,True,False,True,False
CowDB,56,right,True,True,False,True,False
CowDB,56,top,True,True,False,True,False
CowDB,57,left,True,True,False,True,False
CowDB,57,right,True,True,False,True,False
CowDB,57,top,True,True,False,True,False
CowDB,58,left,True,True,False,True,False
CowDB,58,right,True,True,False,True,False
CowDB,58,top,True,True,False,True,False
CowDB,59,left,True,True,False,True,False
CowDB,59,right,True,True,False,True,False
CowDB,59,top,True,True,False,True,False
CowDB,6,left,True,True,False,True,False
CowDB,6,right,True,True,False,True,False
CowDB,6,top,True,True,False,True,False
CowDB,60,left,True,True,False,True,False
CowDB,60,right,True,True,False,True,False
CowDB,60,top,True,True,False,True,False
CowDB,61,left,True,True,False,True,False
CowDB,61,right,True,True,False,True,False
CowDB,61,top,True,True,False,True,False
CowDB,62,left,True,True,False,True,False
CowDB,62,right,True,True,False,True,False
CowDB,62,top,True,True,False,True,False
CowDB,63,left,True,True,False,True,False
CowDB,63,right,True,True,False,True,False
CowDB,63,top,True,True,False,True,False
CowDB,64,left,True,True,False,True,False
CowDB,64,right,True,True,False,True,False
CowDB,64,top,True,True,False,True,False
CowDB,65,left,True,True,False,True,False
CowDB,65,right,True,True,False,True,False
CowDB,65,top,True,True,False,True,False
CowDB,66,left,True,True,False,True,False
CowDB,66,right,True,True,False,True,False
CowDB,66,top,True,True,False,True,False
CowDB,67,left,True,True,False,True,False
CowDB,67,right,True,True,False,True,False
CowDB,67,top,True,True,False,True,False
CowDB,68,left,True,True,False,True,False
CowDB,68,right,True,True,False,True,False
CowDB,68,top,True,True,False,True,False
CowDB,69,left,True,True,False,True,False
CowDB,69,right,True,True,False,True,False
CowDB,69,top,True,True,False,True,False
CowDB,7,left,True,True,False,True,False
CowDB,7,right,True,True,False,True,False
CowDB,7,top,True,True,False,True,False
CowDB,70,left,True,True,False,True,False
CowDB,70,right,True,True,False,True,False
CowDB,70,top,True,True,False,True,False
CowDB,71,left,True,True,False,True,False
CowDB,71,right,True,True,False,True,False
CowDB,71,top,True,True,False,True,False
CowDB,72,left,True,True,False,True,False
CowDB,72,right,True,True,False,True,False
CowDB,72,top,True,True,False,True,False
CowDB,73,left,True,True,False,True,False
CowDB,73,right,True,True,False,True,False
CowDB,73,top,True,True,False,True,False
CowDB,74,left,True,True,False,True,False
CowDB,74,right,True,True,False,True,False
CowDB,74,top,True,True,False,True,False
CowDB,75,left,True,True,False,True,False
CowDB,75,right,True,True,False,True,False
CowDB,75,top,True,True,False,True,False
CowDB,76,left,True,True,False,True,False
CowDB,76,right,True,True,False,True,False
CowDB,76,top,True,True,False,True,False
CowDB,77,left,True,True,False,True,False
CowDB,77,right,True,True,False,True,False
CowDB,77,top,True,True,False,True,False
CowDB,78,left,True,True,False,True,False
CowDB,78,right,True,True,False,True,False
CowDB,78,top,True,True,False,True,False
CowDB,79,left,True,True,False,True,False
CowDB,79,right,True,True,False,True,False
CowDB,79,top,True,True,False,True,False
CowDB,8,left,True,True,False,True,False
CowDB,8,right,True,True,False,True,False
CowDB,8,top,True,True,False,True,False
CowDB,80,left,True,True,False,True,False
CowDB,80,right,True,True,False,True,False
